Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
1963-08-14,Days Of Wine And Roses,Andy Williams,1,1,1,-,https://charts-static.billboard.com/img/1963/08/andy-williams-lz2-days-of-wine-and-roses-37c-180x180.jpg
1963-08-14,Little Stevie Wonder/The 12 Year Old Genius,Stevie Wonder,2,2,1,-,https://charts-static.billboard.com/img/1963/08/stevie-wonder-12f-180x180.jpg
1963-08-14,West Side Story,Soundtrack,3,3,1,-,https://charts-static.billboard.com/img/1963/08/soundtrack-2iu-180x180.jpg
1963-08-14,(Moving),Peter| Paul & Mary,4,4,1,-,#
1963-08-14,Trini Lopez At PJ's,Trini Lopez,5,5,1,-,https://charts-static.billboard.com/img/1963/08/trini-lopez-rmk-trini-lopez-at-pjs-tof-180x180.jpg
