track_name,rank,date,artist_name,region,chart_type,position_change,weeks_on_chart,peak_position,previous_rank,source_type,track_id,duration,explicit,artist_id,genres,artist_count,release_date,country,type
+,46,2020-02-17,"Aitana, Cali Y El Dandee",Argentina,viral50,NEW_ENTRY,7,25,44.0,charts_viral50,1MXzojJav1N4cREWTFm1iZ,,,7eLcDZDYHXZCebtQmVFL25,,,,Spain,Person
+,42,2020-02-24,"Aitana, Cali Y El Dandee",Argentina,viral50,MOVE_DOWN,7,25,46.0,charts_viral50,1MXzojJav1N4cREWTFm1iZ,,,7eLcDZDYHXZCebtQmVFL25,,,,Spain,Person
+,50,2020-03-02,"Aitana, Cali Y El Dandee",Argentina,viral50,MOVE_DOWN,7,25,42.0,charts_viral50,1MXzojJav1N4cREWTFm1iZ,,,7eLcDZDYHXZCebtQmVFL25,,,,Spain,Person
+,49,2020-03-09,"Aitana, Cali Y El Dandee",Argentina,viral50,SAME_POSITION,7,25,50.0,charts_viral50,1MXzojJav1N4cREWTFm1iZ,,,7eLcDZDYHXZCebtQmVFL25,,,,Spain,Person
...Ready For It?,1,2017-09-04,Taylor Swift,Argentina,viral50,NEW_ENTRY,2,1,,charts_viral50,2yLa0QULdQr0qAIvVwN6B5,208.186,False,06HL4z0CvFAxyc27GXpf02,[],1.0,2017-11-10,United States,Person
...Ready For It?,10,2017-09-11,Taylor Swift,Argentina,viral50,MOVE_DOWN,2,1,1.0,charts_viral50,2yLa0QULdQr0qAIvVwN6B5,,,06HL4z0CvFAxyc27GXpf02,,,,United States,Person
"0 Sentimientos (Remix) [feat. Baby Rasta, Darkiel, Messiah & Lyan]",7,2017-01-02,Boy Wonder CF,Argentina,viral50,MOVE_UP,1,7,,charts_viral50,3gYco8uoFBmpxqYlz3Zhs7,335.736,False,01nUdqwuIHCHLZNP2TvYVF,"[""reggaeton"", ""trap latino""]",8.0,2023-11-21,,
0303456 - 1999 vrs,36,2021-07-12,Raffaella Carrà,Argentina,viral50,MOVE_DOWN,1,36,,charts_viral50,1TtHlaxGzDhyF2GyX8dqWV,199.92,False,6EVyI0S0b1Ld2nm37m5x85,[],1.0,1999-10-29,Italy,Person
06:00AM CHILDREN OF THE SUN,49,2018-07-09,SACRE,Argentina,viral50,NEW_ENTRY,1,49,,charts_viral50,5BLWG0gtrci22tCyPu2bsP,225.693,False,68nJ4J8L6X6HZNTuZ9e7yT,"[""nu disco""]",1.0,2020-07-10,,Person
0X1=LOVESONG (I Know I Love You) feat. Seori,27,2021-06-28,TOMORROW X TOGETHER,Argentina,viral50,SAME_POSITION,1,27,,charts_viral50,1Z8TPHiKeCUyClxV6WTTIf,202.203,False,0ghlgldX5Dd6720Q3qFyQB,"[""k-pop""]",2.0,2021-05-31,South Korea,Group
0X1=LOVESONG (I Know I Love You) feat. Seori,26,2021-06-21,TOMORROW X TOGETHER,Argentina,viral50,NEW_ENTRY,1,26,,charts_viral50,1Z8TPHiKeCUyClxV6WTTIf,202.203,False,0ghlgldX5Dd6720Q3qFyQB,"[""k-pop""]",2.0,2021-05-31,South Korea,Group
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",3,2018-02-19,Sofía Reyes,Argentina,viral50,NEW_ENTRY,11,1,,charts_viral50,4QtiVmuA88tPQiCOHZuQ5b,201.526,False,0haZhu4fFKt0Ag94kZDiz2,"[""latin pop""]",3.0,2018-02-16,Mexico,Person
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",1,2018-02-26,Sofía Reyes,Argentina,viral50,SAME_POSITION,11,1,3.0,charts_viral50,4QtiVmuA88tPQiCOHZuQ5b,,,0haZhu4fFKt0Ag94kZDiz2,,,,Mexico,Person
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",9,2018-03-05,Sofía Reyes,Argentina,viral50,MOVE_DOWN,11,1,1.0,charts_viral50,4QtiVmuA88tPQiCOHZuQ5b,,,0haZhu4fFKt0Ag94kZDiz2,,,,Mexico,Person
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",15,2018-03-12,Sofía Reyes,Argentina,viral50,MOVE_UP,11,1,9.0,charts_viral50,4QtiVmuA88tPQiCOHZuQ5b,,,0haZhu4fFKt0Ag94kZDiz2,,,,Mexico,Person
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",16,2018-03-19,Sofía Reyes,Argentina,viral50,MOVE_DOWN,11,1,15.0,charts_viral50,4QtiVmuA88tPQiCOHZuQ5b,,,0haZhu4fFKt0Ag94kZDiz2,,,,Mexico,Person
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",16,2018-03-26,Sofía Reyes,Argentina,viral50,MOVE_DOWN,11,1,16.0,charts_viral50,4QtiVmuA88tPQiCOHZuQ5b,,,0haZhu4fFKt0Ag94kZDiz2,,,,Mexico,Person
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",10,2018-04-02,Sofía Reyes,Argentina,viral50,SAME_POSITION,11,1,16.0,charts_viral50,4QtiVmuA88tPQiCOHZuQ5b,,,0haZhu4fFKt0Ag94kZDiz2,,,,Mexico,Person
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",17,2018-04-09,Sofía Reyes,Argentina,viral50,MOVE_DOWN,11,1,10.0,charts_viral50,4QtiVmuA88tPQiCOHZuQ5b,,,0haZhu4fFKt0Ag94kZDiz2,,,,Mexico,Person
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",21,2018-04-16,Sofía Reyes,Argentina,viral50,MOVE_DOWN,11,1,17.0,charts_viral50,4QtiVmuA88tPQiCOHZuQ5b,,,0haZhu4fFKt0Ag94kZDiz2,,,,Mexico,Person
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",34,2018-04-23,Sofía Reyes,Argentina,viral50,MOVE_DOWN,11,1,21.0,charts_viral50,4QtiVmuA88tPQiCOHZuQ5b,,,0haZhu4fFKt0Ag94kZDiz2,,,,Mexico,Person
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",33,2018-04-30,Sofía Reyes,Argentina,viral50,MOVE_DOWN,11,1,34.0,charts_viral50,4QtiVmuA88tPQiCOHZuQ5b,,,0haZhu4fFKt0Ag94kZDiz2,,,,Mexico,Person
"1, 2, 3!",42,2018-07-23,SEUNGRI,Argentina,viral50,NEW_ENTRY,3,10,,charts_viral50,3EyJd7XKw4lrIZXQboMDbv,205.304,False,20j1uz7iDOtIvIzCr5S8nx,"[""k-pop""]",1.0,2018-07-20,,
"1, 2, 3!",10,2018-07-30,SEUNGRI,Argentina,viral50,NEW_ENTRY,3,10,42.0,charts_viral50,3EyJd7XKw4lrIZXQboMDbv,,,20j1uz7iDOtIvIzCr5S8nx,,,,,
"1, 2, 3!",27,2018-08-06,SEUNGRI,Argentina,viral50,MOVE_DOWN,3,10,10.0,charts_viral50,3EyJd7XKw4lrIZXQboMDbv,,,20j1uz7iDOtIvIzCr5S8nx,,,,,
1-800-273-8255,20,2017-05-08,Logic,Argentina,viral50,MOVE_DOWN,3,17,,charts_viral50,5tz69p7tJuGPeMGwNTxYuV,250.173,True,4xRYI6VqpkE3UwrDrAZL8L,[],3.0,2017-05-05,United States,Person
