Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
1958-08-20,Blue Boy,Jim Reeves,75,65,45,4,https://charts-static.billboard.com/img/1958/08/jim-reeves-wff-180x180.jpg
1958-08-20,Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker,76,61,61,3,#
1958-08-20,Happy Years,The Diamonds,77,73,73,4,https://charts-static.billboard.com/img/1958/08/the-diamonds-kda-155x155.jpg
1958-08-20,The Green Mosquito,The Tune Rockers,78,78,1,-,#
1958-08-20,Midnight,Paul Anka,79,69,69,4,https://charts-static.billboard.com/img/1958/08/paul-anka-6sq-180x180.jpg
1958-08-20,Strange Are The Ways Of Love,Gogi Grant,80,80,1,-,#
1958-08-20,Prisoner's Song,Warren Storm,81,81,1,-,#
1958-08-20,Topsy II,Cozy Cole,82,82,1,-,https://charts-static.billboard.com/img/1958/08/cozy-cole-ekr-106x106.jpg
1958-08-20,Leroy,Jack Scott,83,56,3,-,#
1958-08-20,Borrowed Dreams,Bobby Helms,84,60,60,2,https://charts-static.billboard.com/img/1958/08/bobby-helms-8s1-180x180.jpg
1958-08-20,Drip Drop,The Drifters,85,58,2,-,https://charts-static.billboard.com/img/1958/08/the-drifters-mcs-106x106.jpg
1958-08-20,Devotion,Janice Harper,86,89,86,2,#
1958-08-20,Down The Aisle Of Love,The Quin-Tones,87,91,87,2,#
1958-08-20,Near You,Roger Williams,88,67,67,2,#
1958-08-20,My Life,Chuck Willis,89,90,89,2,#
1958-08-20,Fire Of Love,Jody Reynolds,90,94,90,2,#
1958-08-20,Ramrod,Duane Eddy His Twangy Guitar And The Rebels,91,91,1,-,https://charts-static.billboard.com/img/1958/08/duane-eddy-vt9-180x180.jpg
1958-08-20,Just Like In The Movies,The Upbeats,92,75,75,3,#
1958-08-20,The Purple People Eater,Sheb Wooley,93,81,24,4,https://charts-static.billboard.com/img/1958/08/sheb-wooley-has-180x180.jpg
1958-08-20,You Cheated,The Shields,94,94,1,-,#
1958-08-20,No One Knows,Dion & The Belmonts,95,95,1,-,https://charts-static.billboard.com/img/1958/08/dion-7zf-180x180.jpg
1958-08-20,Return To Me,Dean Martin,96,92,48,4,https://charts-static.billboard.com/img/1958/08/dean-martin-mm0-180x180.jpg
1958-08-20,Little Brass Band,David Seville,97,97,1,-,https://charts-static.billboard.com/img/1958/08/david-seville-d6d-106x106.jpg
1958-08-20,You're A Sweetheart,Little Willie John,98,66,66,3,https://charts-static.billboard.com/img/1958/08/little-willie-john-5vj-180x180.jpg
1958-08-20,You Cheated,The Slades,99,49,42,4,#
1958-08-20,Treasure Of Your Love,Eileen Rodgers,100,100,1,-,#
